Record ID,Offer Name,Type of Offer,Offer Details,Offer Price,Whop Community Name
cf753523-03a0-45fc-9b55-e464a9a903ac,Crystal Academy Free,,"-Access to our free portion of the discord,   -Access to free educational content,   -Access to the announcements tab!,   ",Free lifetime,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Crystal Academy Membership,Subscription,"-Daily live trading sessions and signals from experts,   -Weekly webinars, trading psychology calls, and Q&As, and pre market analysis !,   -Access to futures section with live trading and prop firm info, and full course!,   -24/7 support and access to our vibrant trading community,   -Access to mini mentorship programs included in your membership,   ",$50.00 / month,Crystal Academy Membership
c45c6c60-54da-459c-861e-a3061953bc21,RakeTrades Free,,"-Weekly Earnings & Economic Calendars,   -Free analysis and trade ideas from Jake and his team.,   -Free educational library for traders.,   ",Free lifetime,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,RakeTrades Premium,Subscription,"-Access to live voice chat where Jake shares his trades.,   -Over 500 trading recordings and lessons.,   -Full access to Jake's Mastermind course,   -Weekly & Daily Watchlists to stay prepared.,   -Premarket analysis to get insights before market opens.,   ",$175.00 / month,RakeTrades Premium
b77f0595-42ce-49ea-ba43-1d2fe656a65b,NPZ Trading,Subscription,"-Participate in live sessions with expert signal callers multiple times a day,   -Engage in live buy and sell signals with expert guidance,   -Learn trading psychology and gain insights from top traders,   -Participate in giveaways, prizes, and more with the NPZ community,   ",$180.00 / month,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,NPZ Trading Course,Single payment,"-Learn Trading A-Z,   -How To Chart Up,   ","$2,497.99 lifetime",NPZ Trading
